"URL","Page Type","Primary Intent","Commercial Intent Score","Search Intent Score","Topical Completeness Score","Direct Answer Score","EEAT Score","Local Relevance Score","Conversion Score","Internal Link Score","Metadata Score","Schema Score","Mobile Score","Accessibility Score","Originality Score","Decision Usefulness Score","Truthfulness Score","Total Score","Improvement Potential","Business Priority","Known Issue","Recommended Action","Selected For Upgrade","Evidence Notes"
"/","Homepage","Emergency plumbing request entry","9","8","10","6","8","9","8","10","8","10","8","8","8","8","9","127","Medium","High","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Emergency Plumbing Help Across Dallas-Fort Worth"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=72, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/24-hour-emergency-plumber","Primary service page","Emergency service selection","9","8","10","9","9","7","8","10","8","10","8","8","8","9","9","130","High","High","High-value page had useful basics but needed deeper decision support, E-E-A-T, FAQs, and related-resource routing.","Selected and upgraded in Day 2 Session 1.","yes","Built HTML evidence: h1=""24-hour emergency plumber in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/burst-pipe-emergency","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""burst pipe emergency in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/commercial-emergency-plumbing","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""commercial emergency plumbing in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/emergency-drain-cleaning","Primary service page","Urgent drain service selection","9","8","10","9","9","7","8","10","8","10","8","8","8","9","9","130","High","High","High-value page had useful basics but needed deeper decision support, E-E-A-T, FAQs, and related-resource routing.","Selected and upgraded in Day 2 Session 1.","yes","Built HTML evidence: h1=""emergency drain cleaning in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/main-sewer-line-clog","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""main sewer line clog in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/same-day-plumber-connection","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""same-day plumber connection in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/sewer-backup-help","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""sewer backup help in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/sink-and-shower-drain-backup","Primary service page","Urgent drain service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""sink and shower drain backup in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/toilet-overflow-emergency","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""toilet overflow emergency in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/services/water-heater-emergency","Primary service page","Emergency service selection","9","8","9","9","8","7","8","10","8","10","8","8","8","8","9","127","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""water heater emergency in Dallas-Fort Worth"", schemas=Organization|WebPage|Service|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/bathtub-drain-backing-up","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Bathtub drain backing up"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/burst-pipe-first-steps","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Burst pipe first steps"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/ceiling-leak-from-plumbing","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Ceiling leak from plumbing"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/floor-drain-backing-up","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Floor drain backing up"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/gurgling-toilet-and-slow-drains","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Gurgling toilet and slow drains"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/kitchen-sink-backing-up","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Kitchen sink backing up"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/main-sewer-line-signs","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Main sewer line signs"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/no-hot-water-emergency","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""No hot water emergency"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/outdoor-cleanout-overflowing","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Outdoor cleanout overflowing"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/sewer-smell-in-bathroom","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Sewer smell in bathroom"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/toilet-overflowing-will-not-stop","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Toilet overflowing and will not stop"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/washing-machine-drain-backing-up","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Washing machine drain backing up"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/water-backing-up-in-shower-and-toilet","High-value problem page","Problem diagnosis and urgent next steps","8","8","10","9","9","7","8","10","8","10","8","8","8","9","9","129","High","High","High-value page had useful basics but needed deeper decision support, E-E-A-T, FAQs, and related-resource routing.","Selected and upgraded in Day 2 Session 1.","yes","Built HTML evidence: h1=""Water backing up in shower and toilet"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/problems/water-heater-leaking-emergency","High-value problem page","Problem diagnosis and urgent next steps","8","8","8","9","8","7","8","10","8","10","8","8","8","8","9","125","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Water heater leaking emergency"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=41, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cost-guides/burst-pipe-emergency-cost-guide","High-value cost page","Cost research and booking questions","8","8","7","9","8","7","8","10","8","10","8","8","8","8","9","124","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Burst pipe emergency cost guide"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cost-guides/drain-cleaning-cost-dfw","High-value cost page","Cost research and booking questions","8","8","7","9","8","7","8","10","8","10","8","8","8","8","9","124","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Drain cleaning cost in Dallas-Fort Worth"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cost-guides/emergency-plumbing-cost-dfw","High-value cost page","Cost research and booking questions","8","8","10","9","9","7","8","10","8","10","8","8","8","9","9","129","High","High","High-value page had useful basics but needed deeper decision support, E-E-A-T, FAQs, and related-resource routing.","Selected and upgraded in Day 2 Session 1.","yes","Built HTML evidence: h1=""Emergency plumber cost in Dallas-Fort Worth"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cost-guides/sewer-line-clog-cost-guide","High-value cost page","Cost research and booking questions","8","8","7","9","8","7","8","10","8","10","8","8","8","8","9","124","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Sewer line clog cost guide"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cost-guides/water-heater-emergency-cost-guide","High-value cost page","Cost research and booking questions","8","8","7","9","8","7","8","10","8","10","8","8","8","8","9","124","Medium","Medium-high","Good baseline; monitor after owner phone/routing configuration is complete.","Preserve current page and revisit after conversion tracking and owner configuration.","no","Built HTML evidence: h1=""Water heater emergency cost guide"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=40, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cities/allen","High-priority city page","Local provider request","8","8","8","9","7","9","8","10","8","10","8","8","7","8","9","125","Medium","Medium","Template local copy is truthful but would benefit from owner-verified local proof later.","Defer broad local proof additions until owner supplies verified details.","no","Built HTML evidence: h1=""Emergency plumbing help in Allen"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=54, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cities/arlington","High-priority city page","Local provider request","8","8","8","9","7","9","8","10","8","10","8","8","7","8","9","125","Medium","Medium","Template local copy is truthful but would benefit from owner-verified local proof later.","Defer broad local proof additions until owner supplies verified details.","no","Built HTML evidence: h1=""Emergency plumbing help in Arlington"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=56, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cities/bedford","High-priority city page","Local provider request","8","8","8","9","7","9","8","10","8","10","8","8","7","8","9","125","Medium","Medium","Template local copy is truthful but would benefit from owner-verified local proof later.","Defer broad local proof additions until owner supplies verified details.","no","Built HTML evidence: h1=""Emergency plumbing help in Bedford"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=54, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cities/carrollton","High-priority city page","Local provider request","8","8","8","9","7","9","8","10","8","10","8","8","7","8","9","125","Medium","Medium","Template local copy is truthful but would benefit from owner-verified local proof later.","Defer broad local proof additions until owner supplies verified details.","no","Built HTML evidence: h1=""Emergency plumbing help in Carrollton"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=54, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cities/cedar-hill","High-priority city page","Local provider request","8","8","8","9","7","9","8","10","8","10","8","8","7","8","9","125","Medium","Medium","Template local copy is truthful but would benefit from owner-verified local proof later.","Defer broad local proof additions until owner supplies verified details.","no","Built HTML evidence: h1=""Emergency plumbing help in Cedar Hill"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=54, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cities/dallas","High-priority city page","Local provider request","8","8","8","9","7","9","8","10","8","10","8","8","7","8","9","125","Medium","Medium","Template local copy is truthful but would benefit from owner-verified local proof later.","Defer broad local proof additions until owner supplies verified details.","no","Built HTML evidence: h1=""Emergency plumbing help in Dallas"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=56, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
"/cities/denton","High-priority city page","Local provider request","8","8","8","9","7","9","8","10","8","10","8","8","7","8","9","125","Medium","Medium","Template local copy is truthful but would benefit from owner-verified local proof later.","Defer broad local proof additions until owner supplies verified details.","no","Built HTML evidence: h1=""Emergency plumbing help in Denton"", schemas=Organization|WebPage|BreadcrumbList|FAQPage, faqCount=8, links=54, form=yes, callEvent=yes, tel=no; placeholder phone routes CTA to /contact. Search Console data: NOT AVAILABLE IN REPOSITORY."
